City_ID,City,Country,Date,Lat,Lng,Overall Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
181,Opuwo,NA,2020-01-14 19:24:05,-18.06,13.84,Clouds,overcast clouds,83.12,41,97,8.01,0.0,0.0
182,Gaziantep,TR,2020-01-14 19:19:19,37.06,37.38,Clear,clear sky,41.0,69,0,1.01,0.0,0.0
183,Mehamn,NO,2020-01-14 19:24:06,71.04,27.85,Snow,light snow,24.8,79,75,10.29,0.0,0.0
184,Yenagoa,NG,2020-01-14 19:24:06,4.92,6.26,Rain,light rain,84.38,68,56,7.9,0.38,0.0
185,Victoria,HK,2020-01-14 19:24:06,22.29,114.16,Clouds,few clouds,66.2,77,20,13.87,0.0,0.0
186,Narrabri,AU,2020-01-14 19:24:07,-30.32,149.78,Clouds,broken clouds,73.4,49,66,2.24,0.0,0.0
187,Barreirinhas,BR,2020-01-14 19:24:07,-2.75,-42.83,Rain,moderate rain,81.61,86,100,4.59,4.19,0.0
188,Gwadar,PK,2020-01-14 19:24:07,25.12,62.33,Clear,clear sky,66.76,41,0,16.78,0.0,0.0
189,Bluff,NZ,2020-01-14 19:24:08,-46.6,168.33,Clouds,scattered clouds,50.0,95,50,3.0,0.0,0.0
190,Pandan,PH,2020-01-14 19:24:08,14.05,124.17,Rain,light rain,80.04,82,34,23.22,1.87,0.0
191,Juneau,US,2020-01-14 19:23:11,58.3,-134.42,Clouds,broken clouds,19.4,48,75,5.82,0.0,0.0
192,Ukiah,US,2020-01-14 19:24:08,39.15,-123.21,Rain,light rain,50.0,81,20,8.84,0.0,0.0
193,Atar,MR,2020-01-14 19:24:08,20.52,-13.05,Clouds,broken clouds,68.74,13,66,9.4,0.0,0.0
194,Biak,ID,2020-01-14 19:24:09,-0.91,122.88,Rain,moderate rain,82.38,76,50,3.96,6.25,0.0
195,Sabya,SA,2020-01-14 19:24:09,17.15,42.63,Clear,clear sky,78.8,74,0,6.93,0.0,0.0
196,Airai,TL,2020-01-14 19:24:09,-8.93,125.41,Clouds,overcast clouds,66.96,89,100,1.48,0.0,0.0
197,Awjilah,LY,2020-01-14 19:24:09,29.11,21.29,Rain,light rain,57.54,61,100,18.7,0.63,0.0
198,Ambilobe,MG,2020-01-14 19:24:10,-13.2,49.05,Rain,light rain,77.7,89,95,4.92,1.63,0.0
199,Tiksi,RU,2020-01-14 19:24:10,71.69,128.87,Clouds,scattered clouds,-15.84,88,30,10.02,0.0,0.0
200,Vilhena,BR,2020-01-14 19:24:10,-12.74,-60.15,Clouds,scattered clouds,86.0,58,40,9.17,0.0,0.0
201,Fort Nelson,CA,2020-01-14 19:24:10,58.81,-122.7,Snow,light snow,-34.6,65,90,0.94,0.0,0.0
202,Klaksvik,FO,2020-01-14 19:24:10,62.23,-6.59,Rain,light rain,39.2,80,97,24.16,0.44,0.0
203,Acapulco,MX,2020-01-14 19:24:11,16.86,-99.89,Clear,clear sky,89.98,41,0,6.24,0.0,0.0
204,Lipin Bor,RU,2020-01-14 19:24:11,60.26,37.98,Clouds,overcast clouds,29.86,87,100,8.77,0.0,0.0
205,Lompoc,US,2020-01-14 19:21:47,34.64,-120.46,Clear,clear sky,63.0,71,1,6.93,0.0,0.0
206,Katherine,AU,2020-01-14 19:24:12,-14.47,132.27,Clouds,broken clouds,77.0,88,80,1.12,0.0,0.0
207,Kahului,US,2020-01-14 19:19:14,20.89,-156.47,Clouds,few clouds,75.2,83,20,28.14,0.0,0.0
208,Salalah,OM,2020-01-14 19:24:12,17.02,54.09,Clear,clear sky,69.8,15,0,6.93,0.0,0.0
209,Georgetown,MY,2020-01-14 19:24:12,5.41,100.34,Clouds,scattered clouds,82.4,78,40,2.24,0.0,0.0
210,Le Port,RE,2020-01-14 19:24:12,-20.94,55.29,Rain,light rain,80.6,83,100,10.29,0.44,0.0
211,Khorixas,NA,2020-01-14 19:24:13,-20.37,14.97,Clouds,broken clouds,88.95,32,69,15.05,0.0,0.0
